Institution	Collection	Year	Annual_count	Collection_running_count
LSUMZ	Ornithology	2010	2399	2399
LSUMZ	Ornithology	2011	4455	6854
LSUMZ	Ornithology	2012	2070	8924
LSUMZ	Ornithology	2013	2484	11408
LSUMZ	Ornithology	2014	1382	12790
LSUMZ	Ornithology	2015	1574	14364
LSUMZ	Ornithology	2016	2570	16934
LSUMZ	Ornithology	2017	1254	18188
LSUMZ	Ornithology	2018	2456	20644
LSUMZ	Ornithology	2019	1859	22503
LSUMZ	Herpetology	2010	31	31
LSUMZ	Herpetology	2011	48	79
LSUMZ	Herpetology	2012	1379	1458
LSUMZ	Herpetology	2013	284	1742
LSUMZ	Herpetology	2014	401	2143
LSUMZ	Herpetology	2015	2	2145
LSUMZ	Herpetology	2016	20	2165
LSUMZ	Herpetology	2017	18	2183
LSUMZ	Herpetology	2018	33	2216
LSUMZ	Herpetology	2019	330	2546
LSUMZ	Ichthyology	2010	837	837
LSUMZ	Ichthyology	2011	2512	3349
LSUMZ	Ichthyology	2012	1751	5100
LSUMZ	Ichthyology	2013	880	5980
LSUMZ	Ichthyology	2014	606	6586
LSUMZ	Ichthyology	2015	519	7105
LSUMZ	Ichthyology	2016	520	7625
LSUMZ	Ichthyology	2017	526	8151
LSUMZ	Ichthyology	2018	1015	9166
LSUMZ	Ichthyology	2019	11	9177
LSUMZ	Mammalogy	2010	100	100
LSUMZ	Mammalogy	2011	135	235
LSUMZ	Mammalogy	2012	63	298
LSUMZ	Mammalogy	2013	609	907
LSUMZ	Mammalogy	2014	475	1382
LSUMZ	Mammalogy	2015	882	2264
LSUMZ	Mammalogy	2016	528	2792
LSUMZ	Mammalogy	2017	839	3631
LSUMZ	Mammalogy	2018	1197	4828
LSUMZ	Mammalogy	2019	376	5204
MCZ	Herpetology	2010	816	816
MCZ	Herpetology	2011	139	955
MCZ	Herpetology	2012	552	1507
MCZ	Herpetology	2013	228	1735
MCZ	Herpetology	2014	251	1986
MCZ	Herpetology	2015	1199	3185
MCZ	Herpetology	2016	120	3305
MCZ	Herpetology	2017	12	3317
MCZ	Herpetology	2018	255	3572
MCZ	Herpetology	2019	0	3572
MCZ	Ichthyology	2010	16	16
MCZ	Ichthyology	2011	42	58
MCZ	Ichthyology	2012	7	65
MCZ	Ichthyology	2013	7	72
MCZ	Ichthyology	2014	183	255
MCZ	Ichthyology	2015	29	284
MCZ	Ichthyology	2016	8	292
MCZ	Ichthyology	2017	1	293
MCZ	Ichthyology	2018	0	293
MCZ	Ichthyology	2019	0	293
MCZ	Mammalogy	2010	125	125
MCZ	Mammalogy	2011	117	242
MCZ	Mammalogy	2012	22	264
MCZ	Mammalogy	2013	59	323
MCZ	Mammalogy	2014	399	722
MCZ	Mammalogy	2015	172	894
MCZ	Mammalogy	2016	115	1009
MCZ	Mammalogy	2017	25	1034
MCZ	Mammalogy	2018	0	1034
MCZ	Mammalogy	2019	5	1039
MCZ	Ornithology	2010	56	56
MCZ	Ornithology	2011	134	190
MCZ	Ornithology	2012	156	346
MCZ	Ornithology	2013	37	383
MCZ	Ornithology	2014	53	436
MCZ	Ornithology	2015	13	449
MCZ	Ornithology	2016	97	546
MCZ	Ornithology	2017	307	853
MCZ	Ornithology	2018	335	1188
MCZ	Ornithology	2019	13	1201
MCZ	Entomology	2010	352	352
MCZ	Entomology	2011	61	413
MCZ	Entomology	2012	15	428
MCZ	Entomology	2013	171	599
MCZ	Entomology	2014	22	621
MCZ	Entomology	2015	0	621
MCZ	Entomology	2016	0	621
MCZ	Entomology	2017	0	621
MCZ	Entomology	2018	0	621
MCZ	Entomology	2019	0	621
MCZ	Invertebrate Zoology	2010	57	57
MCZ	Invertebrate Zoology	2011	120	177
MCZ	Invertebrate Zoology	2012	61	238
MCZ	Invertebrate Zoology	2013	55	293
MCZ	Invertebrate Zoology	2014	122	415
MCZ	Invertebrate Zoology	2015	371	786
MCZ	Invertebrate Zoology	2016	438	1224
MCZ	Invertebrate Zoology	2017	78	1302
MCZ	Invertebrate Zoology	2018	18	1320
MCZ	Invertebrate Zoology	2019	28	1348
MCZ	Malacology	2010	7	7
MCZ	Malacology	2011	2	9
MCZ	Malacology	2012	14	23
MCZ	Malacology	2013	42	65
MCZ	Malacology	2014	28	93
