Species	Common_name	Technology	Tissue_source_preservation	Genome_size_Gb	Total_coverage	Contig_N50_Kb	Scaffold_N50_Mb
Aphelocoma woodhouse	Woodhouse Jay	10x Genomics	Blood RNAlater Frozen	1.23	34.99	63.42	10.73
Climacteris picumnus	Brown Treecreeper	10x Genomics	Muscle Flash Frozen	1.31	46.68	147.22	13.89
Cyanocorax yncas	Green Jay	10x Genomics	Blood RNAlater Frozen	1.15	31.51	80.13	16.53
Cyanocorax yucatanicus	Yucatan Jay	10x Genomics	Blood RNAlater Frozen	1.28	46.28	85.02	15.36
Hemispingus superciliaris	Superciliaried Hemispingus	10x Genomics	Blood QLB Unfrozen	1.18	53.28	81.37	16.1
Megascops asio	Eastern Screech Owl	10x Genomics	Blood QLB Unfrozen	1.27	69.82	134.36	18.87
Psilorhinus morio	Brown Jay	10x Genomics	Blood RNAlater Frozen	1.11	41.69	61.92	13.49
Spinus tristis	American Goldfinch	10x Genomics	Blood QLB Unfrozen	1.44	37.03	131.53	16.29
Thamnophilus atrinucha	Black-crowned Antshrike	10x Genomics	Muscle Flash Frozen	1.27	45.32	125.15	0.82
Thamnophilus bernardi	Collared Antshrike	10x Genomics	Muscle Flash Frozen	1.3	28.13	139.53	14.11
Thamnophilus caerulescens	Variable Antshrike	10x Genomics	Muscle Flash Frozen	1.27	29.53	30.61	0.027
Thamnophilus doliatus	Barred Antshrike	10x Genomics	Blood RNAlater Frozen	1.37	44.37	74.45	8.1
Thamophilus shumbae	Maranon Antshrike	10x Genomics	Blood QLB Unfrozen	1.21	42.87	154.2	15.15
