Genus_species	liver	heart	muscle	brain	eye	large intestine	small intestine	testes	ovary	spleen	kidney	lung	pancreas
Acanthis_flavirostris	5	5	5	4	5	0	0	4	1	0	0	0	0
Acanthiza_chrysorrhoa	10	9	10	10	10	0	0	7	3	0	6	5	0
Agelaius_phoeniceus	2	1	2	2	2	0	0	0	0	0	1	0	0
Anisognathus_igniventris	1	0	1	1	1	0	0	0	0	0	0	0	0
Anisognathus_lacrymosus	1	0	1	1	1	0	0	0	0	0	0	0	0
Anthochaera_carunculata	5	5	5	5	5	0	0	4	1	3	3	3	0
Anthus_hodgsoni	5	5	5	0	0	0	0	0	0	0	0	0	0
Aphelocoma_woodhouseii	9	10	10	10	10	10	10	5	5	10	11	0	10
Asthenes_palpebralis	1	0	1	1	1	0	0	0	0	0	0	0	0
Atlapetes_schistaceus	1	0	1	1	1	0	0	0	0	0	0	0	0
Bucanetes_mongolicus	5	5	5	4	4	0	0	4	1	0	0	0	0
Camptostoma_obsoletum	2	2	2	2	2	1	1	2	0	2	2	2	2
Cantorchilus_superciliaris	2	2	2	1	1	2	2	1	1	1	2	2	1
Cardinalis_cardinalis	0	0	2	0	0	0	0	1	1	0	0	0	0
Carpodacus_erythrinus	8	8	8	5	8	0	0	4	4	0	0	0	0
Carpodacus_pulcherrimus	5	5	5	4	5	0	0	2	3	0	0	0	0
Cinnycerthia_peruana	1	0	1	1	1	0	0	0	0	0	0	0	0
Colaptes_auratus	1	1	1	1	1	0	0	0	1	1	1	0	0
Colaptes_rubiginosus	1	1	1	1	1	1	1	1	0	1	1	1	1
Corvus_dauuricus	3	3	3	2	0	0	0	0	0	0	0	0	0
Crotophaga_sulcirostris	7	7	7	7	7	7	7	4	3	7	7	0	7
Cyanocorax_yncas	4	4	4	4	4	4	4	3	1	4	4	0	4
Cyanocorax_yucatanicus	6	6	6	6	6	6	6	3	0	6	6	0	6
Dendrocopos_major	2	2	2	0	0	0	0	0	0	0	0	0	0
Diglossa_brunneiventris	1	0	1	1	1	0	0	0	0	0	0	0	0
Diglossa_cyanea	1	0	1	1	1	0	0	0	0	0	0	0	0
Diglossa_mystacalis	2	0	2	2	2	0	0	0	0	0	0	0	0
Dryobates_callonotus	3	3	3	3	3	3	3	1	2	3	3	3	3
Emberiza_cioides	2	2	2	1	1	0	0	0	1	0	0	0	0
Emberiza_godlewskii	4	4	4	4	4	0	0	3	1	0	0	0	0
Emberiza_leucocephalos	14	14	14	12	14	0	0	9	5	0	0	0	0
Emberiza_spodocephala	2	2	2	2	2	0	0	1	0	0	0	0	0
Entomyzon_cyanotis	8	8	8	8	6	0	0	5	3	3	3	3	1
Eumomota_superciliosa	6	6	6	6	6	6	6	2	4	6	6	0	6
Ficedula_albicilla	5	5	5	1	2	0	0	2	0	0	0	0	0
Furnarius_leucopus	2	2	2	2	2	2	2	0	2	2	1	2	2
